567	1867604657,373192725_align	4129293247,1523689376_align
790	1616096509,2194631527_align	717	1007212703,3297510022_align
1343	3029498300,3480779624_align	1578	1537504909,4193081095_align
638	695485602,2485317226_align	26	1103510016,1308509706_align
957	2742618730,667456644_align	177	3970320511,1691543146_align
335	1711886542,1718336095_align	4196605864,1637068315_align
1764	2286222104,1017139519_align	177	1349925848,1775744723_align
1046	d62a6059252dd42aaf17ff10033b5bb5c9eab86b.jpg_align	914250028,1227091271_align
26	3404770187,1487405500_align	883	3769119320,158090221_align
133	3412723309,1241341644_align	56	610154153,1846433581_align
1850	dc15484e83a7af49b2de05e4.jpg_align	638	1813805482,726729315_align
1588	3832027600,632053995_align	269960343,1060107560_align
1700	7acb0a46f21fbe09ff7946506a600c338744ad4b.jpg_align	1465757435,4009628062_align
1233	3299150947,2150719561_align	979915422,1725587111_align
385	1900275873,3970405754_align	3473683156,570020898_align
1046	914250028,1227091271_align	216	4179697832,3120465949_align
1414	3280955845,680027749_align	216	4179697832,3120465949_align
1939	840972435,2734210450_align	7	212501549,2089769416_align
50	962bd40735fae6cdc472ba8e0fb30f2443a70f1e.jpg_align	3432385609,465219459_align
256	1322194776,3876869713_align	2573348933,4038874148_align
368	1093122918,3886487551_align	1986815565,2000700907_align
328	3970736829,52644316_align	1839	4144591851,2709704077_align
335	4208880655,3448517202_align	3276555134,1893554318_align
444	1415690139,2651770837_align	951	b999a9014c086e06cbc542ee03087bf40ad1cb22.jpg_align
1128	1215099469,2927638678_align	1394422852,3529006407_align
352	1497862712,483479802_align	864651426,1400320569_align
1901	1269273297,1260319001_align	212	2023151995,1314652297_align
28	3490415632,1958464893_align	1332	1002836664,1640494384_align
457	34fae6cd7b899e510207dcb147a7d933c9950d8d.jpg_align	77094b36acaf2eddbacc257a881001e939019367.jpg_align
45	2914698637,1382308540_align	1437229108,3474723391_align
7	2674898346,3100943070_align	1870147700,1399110292_align
1939	3551847146,4109608130_align	7	2409232112,59936072_align
26	3425544076,3674436349_align	883	3973514111,1652806733_align
484	7ac8805134d6996942a75b97.jpg_align	66151417,184283365_align
1393	231749176,2770022854_align	1332	663305439,2870676392_align
1588	3372502668,1359286730_align	7	20313288,3215213190_align
1070	3094026071,2888485199_align	1414	3229907483,2807311305_align
1655	2566814593,2605911210_align	1560761989,498460894_align
1053	889499132,49262503_align	4074544722,2564329638_align
1464	1139200587,4290917373_align	3792370275,347658703_align
883	1600075458,4227858463_align	386	2173158040,1121508984_align
627	3825503088,3648095730_align	3825503088,3648095730_align
1965	2577560130,413867852_align	449279769,877980107_align
1044	3302183684,1712901433_align	3252839901,2796929791_align
256	3673586611,513994631_align	216	3350651916,149579248_align
426	3781327337,1099401980_align	2453861689,795790508_align
1588	3372502668,1359286730_align	3404712806,2108091904_align
1839	3538833250,1980282230_align	4144591851,2709704077_align
790	3026113904,354258760_align	696477081,511807037_align
1053	1634129599,1167553029_align	2933053070,3728586797_align
1732	3711899104,3581220469_align	2741133539,3216399971_align
841	64267182,20417937_align	1393	1343816300,2619522125_align
627	42166d224f4a20a4cbf1a42390529822730ed063.jpg_align	938	35048961,2606773781_align
1965	d52a2834349b033bba85bd2015ce36d3d539bd3f.jpg_align	2577560130,413867852_align
1070	2858033784,4131638579_align	1414	3356567848,2045956955_align
638	1098907934,4226587076_align	2346672834,2715250001_align
426	3761917163,2110180164_align	1868443435,3288846972_align
790	4125833374,3653655215_align	1287307609,683102523_align
386	3685823817,2313308832_align	1850	322972568,2226800871_align
177	15554982,2891567838_align	1233	598103514,598936611_align
1901	2556959567,3310107114_align	212	649638980,2596625401_align
1497	1347663206,1235067773_align	629482644,2178217092_align
983	3717373896,3346700150_align	1070	675631830,2982655501_align
983	671693699,3167961176_align	1070	3645720284,1088135468_align
924	2318450011,2782487192_align	3120957837,654501515_align
1046	430229876,2491225399_align	1572228265,894787088_align
177	315556139,4223191451_align	3979588323,962056867_align
1698	9358d109b3de9c8256e9d68b6a81800a19d84321.jpg_align	212	3379574551,3602177150_align
841	2795815834,1571989639_align	14961945,3579491687_align
1131	258866196,3062926318_align	386	2717569042,2161108882_align
1939	2228189736,2964241310_align	3670145228,4190789836_align
441	3130203770,4191964442_align	984	1464273626,214585068_align
951	3644908411,304616022_align	615	1022807073,965184776_align
56	88544040,2588307179_align	299429636,3768533858_align
1532	3653372909,2336009010_align	870	932545774,1814621047_align
1764	2286222104,1017139519_align	2910612809,1378765930_align
1966	872885771,2747978882_align	984	2878717210,251148877_align
444	1053903317,1842293588_align	951	2601180880,2053441169_align
1128	1100825879,212995834_align	2799826312,3293562331_align
436	1511534118,3149187681_align	1572358269,2833768352_align
216	466424704,4161541215_align	938	1354718659,1068106297_align
959	4294943369,3596091948_align	1044	4020900672,1215066334_align
1732	4280825233,4210890519_align	816	3236264618,291416_align
1811	1567625516,115393205_align	3780482058,2139746442_align
1233	3299150947,2150719561_align	1332	340577056,2573921659_align
319	471147494,2115409030_align	1044	3935602544,527307803_align
959	4294943369,3596091948_align	1044	4008844465,765790544_align
615	1041302461,3399716291_align	7	2168957205,4278457797_align
1605	3058061776,3143309481_align	45	3624583591,2035610809_align
1811	3780482058,2139746442_align	3729665318,2419361801_align
1813	936741145,3600717932_align	1678048301,2613007430_align
1464	3749618424,3839369294_align	1605	3925765776,23209769_align
1414	3356567848,2045956955_align	874047522,1097847936_align
212	3235915356,3619743830_align	335	1711886542,1718336095_align
1414	874047522,1097847936_align	1143255360,1133306523_align
28	2484975283,852666085_align	3607109518,995267288_align
1732	3175347378,3616379400_align	816	625732823,927523430_align
441	899465307,707040557_align	3245067842,1826118885_align
1965	449279769,877980107_align	1046	430229876,2491225399_align
924	504781827,2032013587_align	938	633965819,1657084062_align
1695	2958762312,1156702447_align	216	4048005945,3240285611_align
435	500fd9f9d72a6059fe86a1f32834349b023bba41.jpg_align	d043ad4bd11373f02d586512a40f4bfbfaed04d3.jpg_align
1578	2836935856,2685372334_align	790	1661613073,3197184680_align
1066	819521692,478508540_align	319	3882977071,3047496444_align
1763	2065539540,1134406580_align	335	802227720,723307606_align
457	b17eca8065380cd79a4cce7ea444ad34588281d6.jpg_align	162	1913944169,1719600714_align
149	1820939771,281474259_align	2435910230,2751380667_align
162	2005105045,2614582960_align	2005105045,2614582960_align
915	2732704920,1944691430_align	1965	1740467319,2919139733_align
1532	2552230850,1608916292_align	3553961007,2999124595_align
306	2427209358,2765063002_align	2880749719,862476070_align
386	1088050580,1950887043_align	2751460236,3810532016_align
1605	3925765776,23209769_align	45	3324295654,4220260981_align
352	171213765,1115852323_align	1128	2244110319,3230600264_align
356	3281989963,1764355050_align	378	1080412592,1159583168_align
45	3464145135,2585623422_align	1070	2455858763,2900938662_align
1332	1107036295,1579097349_align	4081456322,1535528634_align
1128	2152642708,3275019596_align	3601725902,3177222427_align
436	3249192718,2500873413_align	627	3825503088,3648095730_align
385	2155342787,4121773988_align	734	1658368256,3158352880_align
548	1942590045,3387551761_align	3508086251,4200073645_align
638	1052068196,2480478509_align	26	1945026790,3499933462_align
1850	1414512048,212703991_align	638	1052068196,2480478509_align
71	1266331714,3426078363_align	2633858689,2088582253_align
1520	1761253486,1815838898_align	1106915568,2466768249_align
1700	1159121988,3897017762_align	615	619388406,844256231_align
1811	44729714,2061518637_align	1532	2999085093,2334500728_align
1850	dc15484e83a7af49b2de05e4.jpg_align	dc15484e83a7af49b2de05e4.jpg_align
938	169432391,2701007517_align	898304835,2672520849_align
335	3877827333,3838577933_align	113	2958257276,2855100357_align
984	1363874816,3166952028_align	1053	3198630326,2334707165_align
1966	147037386,1776228186_align	3142691014,40066027_align
1053	2401456214,3998089450_align	1939	948458321,1780736868_align
1965	1060687269,913547452_align	1046	439843151,3673247311_align
536	3230041926,2461200382_align	1811	44729714,2061518637_align
957	20262581,880933854_align	2675765604,299466788_align
199	976602562,2159923886_align	2537714055,20651598_align
378	1513546783,2758216688_align	816	2940601967,2598709766_align
1625	3811821545,179035960_align	1965	2022018873,22086529_align
216	3350651916,149579248_align	3279116438,2756332188_align
738	2328892094,3698463417_align	1969363608,285825159_align
1839	4144591851,2709704077_align	4144591851,2709704077_align
1133	3325364613,2375672576_align	1764	4152232707,1150961671_align
7	149929773,4237413750_align	138884358,4221199397_align
1393	687291665,1384247944_align	1929932470,2427102665_align
368	559056687,4011836257_align	3130173834,3164812548_align
435	500fd9f9d72a6059fe86a1f32834349b023bba41.jpg_align	915	1377841365,2417913791_align
738	2986986552,1457126341_align	56	299429636,3768533858_align
870	2490165995,4061525135_align	1655	2010941745,175976786_align
1732	3475907802,912448510_align	899724840,215845530_align
28	4285372964,256584991_align	810212841,200351399_align
1811	972557125,3431975524_align	1532	1020404480,170834422_align
615	2086289359,3530906332_align	619388406,844256231_align
28	106224584,91070547_align	1332	4227697070,1385751988_align
1698	1675774946,1608565768_align	2663038486,3484778237_align
256	3951604033,2049260346_align	881361046,3365096619_align
1839	3297285886,2835923390_align	3232123022,1742730461_align
